Dirección;PV;AT;AC;RAT/AC;Mz;EST;ED;FH;ENUS;LOC;+EQUIP;UBIC1;UBIC2;PU;Estado;Año
Zona Industrial II;190.000,00;893,00;893,00;1,00;0;8;13;0,0249;1;0;1;0;1;212,77;Bueno;2026
Zona Industrial III;550.000,00;2.990,00;2.990,00;1,00;1;10;43;0,0249;0;0;0;0;0;183,95;Bueno;2026
Zona Industrial III;150.000,00;762,00;762,00;1,00;1;5;10;0,0249;1;0;0;0;0;196,85;Bueno;2026
Zona Industrial II;120.000,00;400,00;400,00;1,00;1;1;5;0,0249;0;1;0;0;1;300,00;Bueno;2026
Zona Industrial II;140.000,00;630,00;630,00;1,00;1;4;30;0,1817;1;1;0;0;1;222,22;Regular;2026
Zona Industrial II;150.000,00;675,00;675,00;1,00;1;3;11;0,0249;0;1;0;0;1;222,22;Bueno;2026
Zona Industrial II;960.000,00;1.965,00;1.965,00;1,00;1;16;13;0,0249;1;1;0;0;1;488,55;Bueno;2026
Zona Industrial II;250.000,00;1.800,00;1.100,00;1,64;0;1;5;0,3309;0;0;0;0;1;227,27;Deficiente;2026
Zona Industrial I;220.000,00;1.000,00;1.000,00;1,00;0;3;40;0,0809;0;1;0;1;0;220,00;Intermedio;2026
Zona Industrial II;370.000,00;1.810,00;1.125,00;1,61;1;8;25;0,0809;1;1;0;0;1;328,89;Intermedio;2026
Zona Industrial I;450.000,00;2.500,00;1.500,00;1,67;1;5;25;0,1817;1;0;0;1;0;300,00;Regular;2026
Zona Industrial II;1.686.000,00;6.580,00;3.370,00;1,95;1;5;25;0,0809;1;0;0;0;1;500,30;Intermedio;2026
Zona Industrial II;220.000,00;1.005,00;1.500,00;0,67;1;10;12;0,1817;0;0;0;0;1;146,67;Regular;2026
Zona Industrial II;220.000,00;455,00;455,00;1,00;0;4;13;0,0249;1;1;0;0;1;483,52;Bueno;2026
Zona Industrial III;450.000,00;1.421,00;1.421,00;1,00;1;6;12;0,0249;1;1;1;0;0;316,68;Bueno;2026
Zona Industrial I;1.200.000,00;16.519,40;3.582,00;4,61;0;10;53;0,1817;0;0;0;1;0;335,01;Regular;2026
Zona Industrial II;2.000.000,00;29.800,00;6.000,00;4,97;0;6;18;0,0809;0;0;0;0;1;333,33;Intermedio;2026
Zona Industrial II;150.000,00;675,00;675,00;1,00;1;3;11;0,0249;0;1;0;0;1;222,22;Bueno;2026
Zona Industrial I;900.000,00;2.000,00;600,00;3,33;0;8;10;0,1817;0;0;0;1;0;1500,00;Regular;2026
Zona Industrial II;5.134.800,00;30.000,00;26.000,00;1,15;1;150;5;0,0249;0;0;1;0;1;197,49;Bueno;2026
Zona Industrial II;1.800.000,00;30.000,00;5.596,00;5,36;1;10;5;0,1817;1;0;1;0;1;321,66;Regular;2026
Zona Industrial II;5.900.000,00;9.706,00;9.580,00;1,01;1;10;5;0,0249;1;0;0;0;1;615,87;Bueno;2026
Zona Industrial II;300.000,00;1.990,00;1.900,00;1,05;1;10;5;0,0249;1;1;1;0;1;157,89;Bueno;2026
Zona Industrial II;200.000,00;455,00;455,00;1,00;0;3;13;0,0249;0;1;0;0;1;439,56;Bueno;2026
Zona Industrial II;200.000,00;467,00;467,00;1,00;0;3;8;0,0249;1;1;0;0;1;428,27;Bueno;2026
Zona Industrial II;5.823.200,00;11.455,00;9.164,00;1,25;1;5;5;0,0249;0;1;0;0;1;635,44;Bueno;2026
Zona Industrial II;300.000,00;2.596,00;1.486,00;1,75;0;2;5;0,0809;0;0;0;0;1;201,88;Intermedio;2026
Zona Industrial III;220.000,00;1.056,00;1.056,00;1,00;1;4;5;0,0249;0;1;0;0;0;208,33;Bueno;2026
Zona Industrial III;440.000,00;5.000,00;3.406,00;1,47;1;5;23;0,0809;1;0;0;0;0;129,18;Intermedio;2026
Zona Industrial II;8.326.200,00;11.769,00;11.769,00;1,00;0;12;5;0,0249;1;1;0;0;1;707,47;Bueno;2026
Zona Industrial II;450.000,00;624,00;624,00;1,00;1;1;40;0,1817;1;1;0;0;1;721,15;Regular;2026
Zona Industrial I;552.000,00;1.074,00;1.074,00;1,00;1;10;7;0,0249;0;0;0;1;0;513,97;Bueno;2026
Zona Industrial I;5.000.000,00;9.562,00;5.600,00;1,71;1;10;20;0,0809;0;0;0;1;0;892,86;Intermedio;2026
Zona Industrial I;340.000,00;750,00;513,00;1,46;1;2;1;0,0809;1;0;0;1;0;662,77;Intermedio;2026
Zona Industrial III;2.500.000,00;5.160,00;4.150,00;1,24;1;15;18;0,0249;1;1;1;0;0;602,41;Bueno;2026
Zona Industrial III;380.000,00;2.379,00;2.379,00;1,00;1;10;31;0,0809;1;0;0;0;0;159,73;Intermedio;2026
Zona Industrial II;5.000.000,00;26.139,00;11.804,00;2,21;1;29;10;0,0249;0;0;1;0;1;423,59;Bueno;2026
Zona Industrial II;2.700.000,00;5.000,00;1.837,00;2,72;1;20;28;0,0249;1;0;1;0;1;1469,79;Bueno;2026
Zona Industrial II;1.000.000,00;640,00;640,00;1,00;1;3;35;0,1817;1;1;1;0;1;1562,50;Regular;2026
Zona Industrial II;240.000,00;455,00;455,00;1,00;0;4;13;0,0249;1;1;0;0;1;527,47;Bueno;2026
Zona Industrial III;1.600.000,00;10.000,00;7.400,00;1,35;0;10;17;0,0809;0;0;0;0;0;216,22;Intermedio;2026
Zona Industrial II;420.000,00;928,00;928,00;1,00;1;2;13;0,0249;0;1;0;0;1;452,59;Bueno;2026
Zona Industrial III;2.500.000,00;2.760,00;2.760,00;1,00;1;15;18;0,0809;1;1;1;0;0;905,80;Intermedio;2026
Zona Industrial II;670.000,00;3.283,62;3.283,62;1,00;1;8;10;0,0249;0;1;0;0;1;204,04;Bueno;2026
Zona Industrial III;800.000,00;3.500,00;3.000,00;1,17;1;10;30;0,0809;1;0;0;0;0;266,67;Intermedio;2026
Zona Industrial II;450.000,00;1.758,00;1.421,00;1,24;1;5;12;0,0249;1;0;0;0;1;316,68;Bueno;2026
Zona Industrial II;495.000,00;800,00;800,00;1,00;1;10;15;0,0809;0;1;0;0;1;618,75;Intermedio;2026
Zona Industrial I;130.000,00;717,00;450,00;1,59;1;4;35;0,1817;1;0;0;1;0;288,89;Regular;2026
Zona Industrial III;1.200.000,00;5.000,00;5.000,00;1,00;1;10;23;0,1817;0;0;0;0;0;240,00;Regular;2026
Zona Industrial I;250.000,00;1.416,00;1.416,00;1,00;0;5;20;0,1817;0;0;0;1;0;176,55;Regular;2026
Zona Industrial III;1.500.000,00;5.160,00;2.760,00;1,87;1;15;19;0,0249;0;0;1;0;0;543,48;Bueno;2024
Zona Industrial III;1.500.000,00;1.037,00;658,00;1,58;1;4;21;0,0809;0;0;0;0;0;2279,64;Intermedio;2024
